text,intent,response
"text",intent,"response"
"What does Tekworks do?",about,"Tekworks is a global executive search firm specializing in leadership and senior technical hires across industries. They help organizations build high-impact teams through tailored recruitment services."
"Tell me about Tekworks.",about,"Tekworks partners with businesses to provide executive search and talent acquisition services leveraging data-driven strategies and a vast talent pool to identify top candidates."
"What services do you offer?",services,"Tekworks offers Executive Hiring Leadership Hiring Professional Hiring and Technology Hiring services."
"Can you explain your executive hiring services?",services,"Their Executive Hiring service helps businesses identify and onboard transformative leaders through a data-driven and network-based approach."
"What is your leadership hiring process?",services,"Tekworks helps organizations find transformative leaders by deeply understanding the organizational needs and using proven search strategies."
"What kind of professionals do you hire?",services,"Tekworks hires performance-oriented operationally efficient professionals across domains and industries."
"Do you hire tech talent?",services,"Yes Tekworks specializes in hiring innovative and agile technology professionals to support digital transformation and growth."
"What are your hiring models?",hiring_options,"Tekworks offers Full-Time Hiring Flexible Hiring (contract and contract-to-hire) and RPO (Recruitment Process Outsourcing)."
"Do you provide flexible hiring?",hiring_options,"Yes they provide flexible hiring for both short-term and long-term needs through contract and contract-to-hire models."
"What is RPO?",hiring_options,"Recruitment Process Outsourcing (RPO) is a service where Tekworks manages part or all of the recruitment process offering scalable and cost-effective talent acquisition."
"How do you hire candidates?",recruitment_process,"Tekworks uses a 5-S hiring framework: Scout Source Screen Service and Select – ensuring a strategic data-driven and collaborative recruitment process."
"Can you explain your recruitment process?",recruitment_process,"Their process includes understanding client needs (Scout) identifying talent (Source) evaluating candidates (Screen) supporting interviews (Service), and final selection and onboarding (Select)."
"What are the steps in your hiring process?",recruitment_process,"The 5 steps are: Scout Source Screen Service and Select – each ensuring precise talent matching and smooth onboarding."
"What industries do you serve?",industries,"Tekworks serves industries including Financial Services Healthcare Technology E-Commerce Telecom and Retail."
"Do you serve the healthcare sector?",industries,"Yes Tekworks serves the healthcare sector among others providing specialized recruitment for critical roles."
"What is your approach to hiring?",approach,"They combine data-driven strategies personalized scouting and deep industry expertise to deliver impactful hiring solutions."
"How do you find the right candidates?",talent_sourcing,"Tekworks uses strong networking a deep talent pool and original research by experienced recruiters to find the best candidate matches."
"Why should we choose Tekworks?",why_us,"Tekworks offers a differentiated approach with data-driven recruitment personalized service and fast hiring timelines backed by experienced talent scouts."
"What makes Tekworks different?",why_us,"Their blend of empathy persistence and visionary leadership sets them apart along with their proven ability to match leadership talent to business needs."
"Tell me about the company culture.",culture,"At Tekworks the culture emphasizes collaboration continuous learning and innovation aiming to create a high-performance and inclusive work environment."
"How do you help companies grow?",growth,"Tekworks helps companies grow by providing top-tier talent through strategic hiring models enabling teams to scale efficiently and effectively."
"How big is your client base?",clients,"Tekworks works with a diverse set of clients across industries like healthcare finance technology e-commerce telecom and retail."
"What do your clients say?",testimonials,"Tekworks' clients commend their strategic hiring process industry understanding and ability to deliver high-quality talent in short timelines."
"How can I apply for a job?",jobs,"You can apply for a job at Tekworks by visiting the Careers page at www.tekworks.in/careers and filling out the contact form with your details and resume."
"Are there any job openings?",jobs,"Yes Tekworks is actively hiring for various roles. Visit their Careers page to learn more or submit your resume."
"Where can I find careers at Tekworks?",jobs,"Careers at Tekworks can be explored at https://www.tekworks.in/careers."
"How can I contact you?",contact,"You can contact Tekworks through their website's contact form or by emailing them at contact@tekworks.in."
"What’s the best way to reach Tekworks?",contact,"The best way to reach Tekworks is via their contact form at www.tekworks.in/#Contact-Us or through their email contact@tekworks.in."
"Who are the key people at Tekworks?",founders,"Tekworks’ leadership includes professionals with decades of experience in recruitment and talent acquisition. Specific names vary based on the entity."
"Who founded Tekworks?",founders,"Tekworks was founded by Amar Pratap Rama Murthy and other experienced professionals depending on the specific branch or entity."
"What is the mission of Tekworks?",about,"Tekworks’ mission is to deliver data-driven client-centric recruitment solutions that align with organizational goals and drive business success."
"What is the vision of Tekworks?",about,"Their vision is to be a trusted talent partner enabling businesses to scale with the right people and transforming hiring into a strategic advantage."
"Why is Tekworks a good company?",why_good,"Tekworks is known for its personalized approach industry expertise flexible hiring models and quick turnaround time, making it a valuable partner for hiring needs."
"What kind of company is Tekworks?",about,"Tekworks is a global executive search and recruitment firm that provides end-to-end hiring solutions across a wide range of industries and job roles."
"How long has Tekworks been in business?",about,"Tekworks was established over a decade ago and has grown into a trusted talent acquisition partner across industries."
"Who leads Tekworks?",founders,"Tekworks is led by experienced professionals like Amar Pratap Rama Murthy among others depending on the specific business entity."
"Do you have client testimonials?",testimonials,"Yes Tekworks features client testimonials highlighting their reliability hiring expertise and ability to deliver tailored recruitment solutions."
"How do I get in touch with your team?",contact,"You can reach the Tekworks team via the contact form at www.tekworks.in or by emailing contact@tekworks.in."
"Where is Tekworks located?",contact,"Tekworks is located in India with its operational branch in Tadepalli Andhra Pradesh."
"What job roles are you hiring for?",jobs,"Tekworks is hiring for roles such as Data Scientists Backend Developers and other leadership and technical positions."
"Can I submit my resume to Tekworks?",jobs,"Yes you can submit your resume via the contact form on the Careers page at www.tekworks.in/careers."
